Year,Series,REF_AREA,Units,Value
2000,ER_PTD_MTN,524,PT,51.21737
2001,ER_PTD_MTN,524,PT,51.21737
2002,ER_PTD_MTN,524,PT,52.16076
2003,ER_PTD_MTN,524,PT,52.16076
2004,ER_PTD_MTN,524,PT,53.84386
2005,ER_PTD_MTN,524,PT,55.31853
2006,ER_PTD_MTN,524,PT,60.1736
2007,ER_PTD_MTN,524,PT,60.1736
2008,ER_PTD_MTN,524,PT,60.1736
2009,ER_PTD_MTN,524,PT,60.1736
2010,ER_PTD_MTN,524,PT,60.60968
2011,ER_PTD_MTN,524,PT,60.60968
2012,ER_PTD_MTN,524,PT,60.60968
2013,ER_PTD_MTN,524,PT,60.60968
2014,ER_PTD_MTN,524,PT,60.60968
2015,ER_PTD_MTN,524,PT,60.60968
2016,ER_PTD_MTN,524,PT,60.61385
2017,ER_PTD_MTN,524,PT,60.61385
2018,ER_PTD_MTN,524,PT,60.61385
2019,ER_PTD_MTN,524,PT,60.61385
