Year,Series,REF_AREA,Units,Value
2000,GR_G14_GDP,,PT,11.2949750580379
2001,GR_G14_GDP,,PT,11.981150174545
2002,GR_G14_GDP,,PT,11.9581871279845
2003,GR_G14_GDP,,PT,13.2088245525639
2004,GR_G14_GDP,,PT,13.2397065913314
2005,GR_G14_GDP,,PT,13.9895770220033
2006,GR_G14_GDP,,PT,12.8576961810524
2007,GR_G14_GDP,,PT,14.0401365563134
2008,GR_G14_GDP,,PT,14.7917105286582
2009,GR_G14_GDP,,PT,16.7994620379077
2010,GR_G14_GDP,,PT,18.1299862554137
2011,GR_G14_GDP,,PT,18.5017415775732
2012,GR_G14_GDP,,PT,18.6641045554575
2013,GR_G14_GDP,,PT,19.5229399488829
2014,GR_G14_GDP,,PT,20.5967531932514
2015,GR_G14_GDP,,PT,21.1259181456316
2016,GR_G14_GDP,,PT,23.257906429021
2017,GR_G14_GDP,,PT,24.3811935039601
2000,GR_G14_XDC,,CUR_LCU,46015.0
2001,GR_G14_XDC,,CUR_LCU,52899.0
2002,GR_G14_XDC,,CUR_LCU,54941.0
2003,GR_G14_XDC,,CUR_LCU,65017.9
2004,GR_G14_XDC,,CUR_LCU,71064.0
2005,GR_G14_XDC,,CUR_LCU,82456.2
2006,GR_G14_XDC,,CUR_LCU,84100.2
2007,GR_G14_XDC,,CUR_LCU,102187.9
2008,GR_G14_XDC,,CUR_LCU,120649.8
2009,GR_G14_XDC,,CUR_LCU,166024.3
2010,GR_G14_XDC,,CUR_LCU,216249.7
2011,GR_G14_XDC,,CUR_LCU,252910.3
2012,GR_G14_XDC,,CUR_LCU,285065.0
2013,GR_G14_XDC,,CUR_LCU,330916.0
2014,GR_G14_XDC,,CUR_LCU,404631.4
2015,GR_G14_XDC,,CUR_LCU,450013.7
2016,GR_G14_XDC,,CUR_LCU,524038.6
2017,GR_G14_XDC,,CUR_LCU,644296.3
