Year,Series,REF_AREA,Units,Value
2000,GC_GOB_TAXD,524,PT,54.5317
2001,GC_GOB_TAXD,524,PT,52.58778
2002,GC_GOB_TAXD,524,PT,53.58885
2003,GC_GOB_TAXD,524,PT,57.37541
2004,GC_GOB_TAXD,524,PT,61.48774
2005,GC_GOB_TAXD,524,PT,60.94152
2006,GC_GOB_TAXD,524,PT,60.52527
2007,GC_GOB_TAXD,524,PT,60.99772
2008,GC_GOB_TAXD,524,PT,61.76374
2009,GC_GOB_TAXD,524,PT,58.6126
2010,GC_GOB_TAXD,524,PT,68.68619
2011,GC_GOB_TAXD,524,PT,67.99083
2012,GC_GOB_TAXD,524,PT,71.86313
2013,GC_GOB_TAXD,524,PT,85.93593
2014,GC_GOB_TAXD,524,PT,84.50524
2015,GC_GOB_TAXD,524,PT,83.26422
2016,GC_GOB_TAXD,524,PT,85.34704
2017,GC_GOB_TAXD,524,PT,76.25712
